link,name,Актеры,Время,Год,Жанр,Режиссер,Слоган,Страна
['https://go.utorr.cc/uzhas/5308-kukushka-2024.html'],Кукушка,"Хантер Шафер,  Ян Блютхардт,  Мартон Чокаш,  Джессика Хенвик,  Дэн Стивенс,  Мила Лье,  Грета Фернандес,  Прошат Мадани,  Астрид Берже-Фрисби,  Конрад Сингер",1 ч 42 мин,2024,ужасы,Тильман Сингер,«Сколько мне осталось жить?»,"Германия,  США"
['https://go.utorr.cc/triller/5307-lovushka-2024.html'],Ловушка,"Джош Хартнетт,  Ариэль Джой Донохью,  Салека Шьямалан,  Элисон Пилл,  Хейли Миллз,  Джонатан Лэнгдон,  Mark Bacolcol,  Марни Макпайл,  Кид Кади,  Russ",1 ч 45 мин,2024,"триллер,  криминал",М. Найт Шьямалан,,"США,  Канада"
['https://go.utorr.cc/komedia/5306-voditel-oligarh-2024.html'],Водитель-олигарх,"Павел Прилучный,  Алексей Чадов,  Ольга Погодина,  Станислав Дужников,  Дмитрий Хрусталев,  Анна Уколова,  Елена Валюшкина,  Николай Евстафьев,  Игорь Сигаев,  Анна Фроловцева",1 ч 30 мин,2024,комедия,Алексей Пиманов,«Попробуй разрули»,Россия
['https://go.utorr.cc/fantastika/5305-borderlends-2024.html'],Бордерлендс,"Кейт Бланшетт,  Кевин Харт,  Эдгар Рамирес,  Джейми Ли Кёртис,  Ариана Гринблатт,  Флориан Мунтяну,  Янина Гаванкар,  Джек Блэк,  Бен Дэвис,  Оливье Рихтерс",1 ч 41 мин,2024,"фантастика,  боевик,  комедия",Элай Рот,«Хаос любит компанию»,"США,  Венгрия"
['https://go.utorr.cc/serial/5304-kaos-serial-2024.html'],Каос (сериал),"Джефф Голдблюм,  Джанет Мактир,  Киллиан Скотт,  Деби Мейзар,  Аврора Перрино,  Лейла Фарзад,  Набхан Ризван,  Стэнли Таунсенд,  Билли Пайпер,  Фейди Эльсайед",,2024,"фэнтези,  драма,  комедия","Джорджи Бэнкс-Дэвис,  Руньяраро Мапфумо",,Великобритания
['https://go.utorr.cc/komedia/5303-nenasytnye-lyudi-2024.html'],Ненасытные люди,"Химеш Патель,  Джозеф Гордон-Левитт,  Лили Джеймс,  Узо Адуба,  Тим Блейк Нельсон,  Саймон Рекс,  Нина Арианда,  Джим Гэффиган,  Хосе Мария Яспик,  Джои Лорен Эдамс",1 ч 52 мин,2024,"комедия,  криминал",Потси Пончироли,"«Берём всё, что плохо лежит»",США
['https://go.utorr.cc/triller/5301-ba-2024.html'],Ба,"Дейл Дикки,  Романа Дени,  Даниэль Брошу,  Ричард Шеволье,  Грег Эллванд,  Кэтлин Фи,  Джонатан Кёнсген,  Рок ЛаФортьен,  Anthony Jones",,2024,"криминал,  триллер",Карл Раудсепп-Хирне,,Канада
['https://go.utorr.cc/triller/5297-sobiratel-dush-2024.html'],Собиратель душ,"Майка Монро,  Блэр Андервуд,  Николас Кейдж,  Алисия Уитт,  Мишель Чхве-Ли,  Дакота Долби,  Лорен Акала,  Кирнан Шипка,  Майла Хози,  Джейсон Уилльям Дэй",1 ч 41 мин,2024,"триллер,  детектив,  ужасы",Осгуд Перкинс,,"США,  Канада"
['https://go.utorr.cc/mult/5291-golovolomka-2-2024.html'],Головоломка 2,"Эми Полер,  Майя Хоук,  Кенсингтон Таллман,  Лиза Лапира,  Тони Хейл,  Льюис Блэк,  Филлис Смит,  Айо Эдебири,  Лилимар,  Грэйс Лу",1 ч 36 мин,2024,"мультфильм,  комедия,  семейный,  фэнтези",Келси Манн,«Найди место для новых эмоций»,США
['https://go.utorr.cc/boevik/5289-dzhekpot-2024.html'],Джекпот!,"Аквафина,  Джон Сина,  Симу Лю,  Эйден Майери,  Колсон Бэйкер,  Дональд Уоткинс,  Шонн Уильям Скотт,  Бекки Энн Бейкер,  Сэм Асгари,  Мюррэй Хилл",1 ч 46 мин,2024,"боевик,  комедия,  фантастика",Пол Фиг,,США
['https://go.utorr.cc/boevik/5288-soyuz-2024.html'],Союз,"Марк Уолберг,  Холли Берри,  Дж.К. Симмонс,  Майк Колтер,  Элис Ли,  Джессика Де Гау,  Адевале Акинойе-Агбаже,  Джеки Эрл Хейли,  Люси Корк,  Патрик Дарро",2 ч 13 мин,2024,"боевик,  триллер,  комедия",Джулиан Фарино,,США
['https://go.utorr.cc/boevik/5287-mayor-grom-igra-2024.html'],Майор Гром: Игра,"Тихон Жизневский,  Александр Сетейкин,  Алексей Маклаков,  Любовь Аксёнова,  Сергей Горошко,  Дмитрий Чеботарёв,  Константин Хабенский,  Матвей Лыков,  Ольга Сутулова,  Андрей Трушин",2 ч 48 мин,2024,"боевик,  приключения",Олег Трофим,,Россия
['https://go.utorr.cc/melodrama/5286-pokazhi-mne-lunu-2024.html'],Покажи мне Луну,"Скарлетт Йоханссон,  Ченнинг Татум,  Вуди Харрельсон,  Рэй Романо,  Джим Рэш,  Анна Гарсиа,  Дональд Уоткинс,  Ной Роббинс,  Кристиан Клименсон,  Колин Вуделл",2 ч 12 мин,2024,"мелодрама,  комедия",Грег Берланти,,"США,  Великобритания"
['https://go.utorr.cc/boevik/5283-smerch-2-2024.html'],Смерч 2,"Дэйзи Эдгар-Джонс,  Глен Пауэлл,  Энтони Рамос,  Брэндон Переа,  Мора Тирни,  Гарри Хадден-Патон,  Саша Лэйн,  Дэрил Маккормак,  Кирнан Шипка,  Ник Додани",2 ч 2 мин,2024,"боевик,  триллер",Ли Айзек Чун,,США
['https://go.utorr.cc/boevik/5281-zachinschiki-2024.html'],Зачинщики,"Мэтт Дэймон,  Кейси Аффлек,  Хонг Чау,  Джек Харлоу,  Альфред Молина,  Майкл Стулбарг,  Owen Earls,  Натали Картер,  Walter Liebman,  Андре Де Шилдс",1 ч 41 мин,2024,"боевик,  триллер,  драма,  комедия,  криминал,  детектив",Даг Лайман,,США
['https://go.utorr.cc/mult/5279-gadkiy-ya-4-2024.html'],Гадкий я 4,"Стив Карелл,  Пьер Коффан,  Уилл Феррелл,  София Вергара,  Крис Рено,  Дэна Гайер,  Мэдисон Скай Полан,  Миранда Косгров,  Кристен Уиг,  Стив Куган",1 ч 34 мин,2024,"мультфильм,  фантастика,  комедия,  криминал,  приключения,  семейный","Крис Рено,  Патрик Делаж",,США
['https://go.utorr.cc/fantasy/5277-voobrazhaemye-druzya-2024.html'],Воображаемые друзья,"Кэйли Флеминг,  Райан Рейнольдс,  Джон Красински,  Фиона Шоу,  Стив Карелл,  Фиби Уоллер-Бридж,  Луис Госсет мл.,  Алан С. Ким,  Лиза Колон-Зайас,  Бобби Мойнахан",1 ч 44 мин,2024,"мультфильм,  фэнтези,  драма,  комедия,  семейный",Джон Красински,,"США,  Канада"
['https://go.utorr.cc/komedia/5274-otchayannye-nasledniki-2023.html'],Отчаянные наследники,"Инма Куэста,  Диего Мартин,  Сара Саламо,  Альфонсо Бассаве,  Пере Понсе,  Бетси Турнес,  Иван Ренедо,  Гонсало Де Кастро,  Исабель Ордас,  Луиза Гаваса",1 ч 37 мин,2023,"комедия,  детектив",Хуана Масиас,,Испания
['https://go.utorr.cc/uzhas/5272-tihoe-mesto-den-pervyy-2024.html'],Тихое место: День первый,"Лупита Нионго,  Шницель,  Нико,  Джозеф Куинн,  Алекс Вулф,  Джимон Хонсу,  Элиан Умугире,  Takunda Khumalo,  Элфи Тодд,  Avy-Berry Worrall",1 ч 39 мин,2024,"ужасы,  фантастика,  драма",Майкл Сарноски,"«Если хочешь выжить, не издавай ни звука»","США,  Великобритания,  Канада"
['https://go.utorr.cc/boevik/5269-moy-shpion-2-2024.html'],Мой шпион: Вечный город,"Дэйв Батиста,  Хлоя Коулмэн,  Кристен Шаал,  Кен Жонг,  Анна Фэрис,  Кристоф Робинсон,  Таэхо К,  Билли Бэррэтт,  Крэйг Робинсон,  Тамер Барджаг",1 ч 52 мин,2024,"боевик,  комедия",Питер Сигал,,США
['https://go.utorr.cc/serial/5267-prezumpciya-nevinovnosti-serial-2024.html'],Презумпция невиновности (сериал),"Джейк Джилленхол,  Рут Негга,  Билл Кэмп,  О. Т. Фагбенли,  Чейз Инфинити,  Ренате Реинсве,  Питер Сарсгаард,  Кингстон Руми Сауфвик,  Тейт Бёрчмор,  Элизабет Марвел",,2024,"драма,  криминал,  детектив","Грег Яйтанс,  Анне Севитски",,США
['https://go.utorr.cc/boevik/5264-plohie-parni-do-konca-2024.html'],Плохие парни до конца,"Уилл Смит,  Мартин Лоуренс,  Ванесса Энн Хадженс,  Александр Людвиг,  Паола Нуньес,  Эрик Дэйн,  Йоан Гриффит,  Джейкоб Скипио,  Мелани Либёрд,  Таша Смит",1 ч 55 мин,2024,"боевик,  комедия,  криминал","Адиль Эль Арби,  Билал Фалла",«Лучшие детективы Майами теперь в бегах»,США
['https://go.utorr.cc/drama/5263-ognennyy-lis-2024.html'],Огненный лис,Олег Вирозуб,1 ч 30 мин,2024,"документальный,  семейный,  приключения",Дмитрий Шпиленок,«Самый рыжий фильм года»,Россия
['https://go.utorr.cc/uzhas/5259-smotriteli-2024.html'],Смотрители,"Дакота Фаннинг,  Джорджина Кэмпбелл,  Олуэн Фуэре,  Оливер Финнегэн,  Алистэр Браммер,  Джон Линч,  Шиван Хьюлетт,  Ханна Дарган,  Эмили Дарган,  Джоэль Фигероа",1 ч 42 мин,2024,ужасы,Ишана Шьямалан,,"Ирландия,  США"
['https://go.utorr.cc/drama/5258-baykery-2023.html'],Байкеры,"Джоди Комер,  Остин Батлер,  Том Харди,  Майкл Шеннон,  Майк Фейст,  Бойд Холбрук,  Норман Ридус,  Дэймон Херриман,  Бо Напп,  Эмори Коэн",1 ч 56 мин,2023,"драма,  криминал",Джефф Николс,,США
['https://go.utorr.cc/komedia/5257-neposlushniki-2024.html'],Непослушники,"Виктор Хориняк,  Юрий Кузнецов,  Гоша Куценко,  Екатерина Новокрещенова,  Никита Конкин,  Алиса Клагиш,  Федор Скальский,  Сергей Селин,  Игорь Чернявый,  Олег Каменщиков",1 ч 55 мин,2024,комедия,Владимир Котт,,Россия
['https://go.utorr.cc/fantastika/5255-sto-let-tomu-vpered-2024.html'],Сто лет тому вперед,"Даша Верещагина,  Марк Эйдельштейн,  Константин Хабенский,  Виктория Исакова,  Фёдор Бондарчук,  Александр Петров,  Юра Борисов,  Софа Цибирева,  Матвей Астраханцев,  Кирилл Митрофанов",2 ч 22 мин,2024,"фантастика,  приключения",Александр Андрющенко,,Россия
['https://go.utorr.cc/mult/5254-garfild-2024.html'],Гарфилд,"Крис Пратт,  Сэмюэл Л. Джексон,  Ханна Уэддингхэм,  Винг Реймз,  Николас Холт,  Сесили Стронг,  Харви Гильен,  Бретт Голдстин,  Бовэнь Ян,  Снуп Догг",1 ч 41 мин,2024,"мультфильм,  фэнтези,  комедия,  приключения,  семейный",Марк Диндал,,"США,  Великобритания,  Гонконг"
['https://go.utorr.cc/fantastika/5253-planeta-obezyan-novoe-carstvo-2024.html'],Планета обезьян: Новое царство,"Оуэн Тиг,  Питер Макон,  Фрейя Аллан,  Кевин Дюран,  Трэвис Джеффри,  Уильям Х. Мэйси,  Дичен Лакмэн,  Ика Дэрвилл,  Лидия Пекхэм,  Нил Сэндилэндс",2 ч 25 мин,2024,"фантастика,  боевик,  триллер,  драма,  приключения",Уэс Болл,,"США,  Австралия"
['https://go.utorr.cc/mult/5249-malchik-i-ptica-2023.html'],Мальчик и птица,"Сома Сантоки,  Масаки Суда,  Аимён,  Ёсино Кимура,  Ко Сибасаки,  Сёхэи Хино,  Такуя Кимура,  Дзюн Кунимура,  Каору Кобаяси,  Дзюн Фубуки",2 ч 4 мин,2023,"аниме,  мультфильм,  фэнтези,  драма,  приключения",Хаяо Миядзаки,,Япония
['https://go.utorr.cc/boevik/5246-policeyskiy-iz-beverli-hillz-aksel-fouli-2024.html'],Полицейский из Беверли-Хиллз: Аксель Фоули,"Эдди Мёрфи,  Джадж Райнхолд,  Кевин Бейкон,  Джозеф Гордон-Левитт,  Джон Эштон,  Бронсон Пиншо,  Марк Пеллегрино,  Пол Райзер,  Тейлор Пейдж,  Джеймс Роджерс",,2024,"боевик,  триллер,  комедия,  криминал",Mark Molloy,,США
['https://go.utorr.cc/fantastika/5243-furiosa-hroniki-bezumnogo-maksa-2024.html'],Фуриоса: Хроники Безумного Макса,"Крис Хемсворт,  Аня Тейлор-Джой,  Алила Браун,  Том Бёрк,  Нэйтан Джонс,  Джош Хелман,  Чарли Фрейзер,  Лейчи Халм,  Джон Ховард,  Джордж Шевцов",,2024,"фантастика,  боевик",Джордж Миллер,,"Австралия,  США"
['https://go.utorr.cc/serial/5240-temnaya-materiya-serial-2024.html'],Темная материя (сериал),"Джоэл Эдгертон,  Дженнифер Коннелли,  Алиси Брага,  Джимми Симпсон,  Дайо Окенийи,  Оакс Фигли,  Аманда Бругел,  Уильям Смайли,  Bassam Abdelfattah,  Tiff Abreu",,2024,"фантастика,  триллер,  драма","Якоб Вербрюгген,  Роксанн Доусон,  Логан Джордж",,США
['https://go.utorr.cc/fantasy/5236-letuchiy-korabl-2024.html'],Летучий корабль,"Александр Метёлкин,  Ксения Трейстер,  Андрей Бурковский,  Полина Гагарина,  Фёдор Добронравов,  Леонид Ярмольник,  Сергей Гармаш,  Анна Уколова,  Екатерина Агеева,  Антон Бирюков",,2024,"фэнтези,  мелодрама,  приключения,  комедия",Илья Учитель,,Россия
['https://go.utorr.cc/fantastika/5233-blindazh-2024.html'],Блиндаж,"Александр Метёлкин,  Даниэль Литтау,  Вероника Мохирева,  Маргарита Аброськина,  Игорь Петренко,  Владимир Селезнев,  Алексей Шевченков,  Роман Богомазов,  Дин Майер,  Эльшан Алескеров",,2024,"военный,  фантастика",Марк Горобец,,Россия
['https://go.utorr.cc/uzhas/5232-taro-karta-smerti0-2024.html'],Таро: Карта смерти,"Харриет Слейтер,  Эдейн Брэдли,  Джейкоб Баталон,  Авантика,  Умберли Гонсалес,  Вольфганг Новограц,  Ларсен Томпсон,  Олуэн Фуэре,  Сунчика Миланович,  Алан Уэллс",,2024,ужасы,"Спенсер Коэн,  Анна Халберг",,"США,  Сербия"
['https://go.utorr.cc/boevik/5231-ya-ne-killer0-2023.html'],Я не киллер,"Глен Пауэлл,  Адриа Архона,  Ретта,  Остин Амелио,  Молли Бернард,  Майк Маркофф,  Бет Бартли,  Рокси Ривера,  Джулия Холт,  Ивэн Холцман",,2023,"боевик,  мелодрама,  комедия,  криминал",Ричард Линклейтер,"«Он не убийца, но может притвориться»",США
['https://go.utorr.cc/triller/5275-materinskiy-instinkt-2024.html'],Материнский инстинкт,"Джессика Честейн,  Энн Хэтэуэй,  Имон Патрик О’Коннелл,  Андерс Даниельсен Ли,  Каролин Лагерфельт,  Бэйлен Д. Билиц,  Джош Чарльз,  Кили Миллер,  Мишель Сантьяго,  Александр Блэйз",,2024,"драма,  триллер",Бенуа Деломм,"«Не верь ничему, кроме своих инстинктов»",США
['https://go.utorr.cc/boevik/5228-padenie-imperii-2024.html'],Падение империи,"Кирстен Данст,  Вагнер Моура,  Кейли Спейни,  Стивен Маккинли Хендерсон,  Соноя Мидзуно,  Ник Офферман,  Джефферсон Уайт,  Хуани Фелис,  Нельсон Ли,  Эдмунд Донован",,2024,"боевик,  драма",Алекс Гарленд,,"США,  Великобритания"
['https://go.utorr.cc/boevik/5227-pacan-protiv-vseh-2023.html'],Пацан против всех,"Билл Скарсгард,  Джессика Рот,  Мишель Докери,  Бретт Гельман,  Яян Рухьян,  Куинн Коуплэнд,  Эндрю Кодзи,  Айзейя Мустафа,  Фамке Янссен,  Шарлто Копли",,2023,"боевик,  комедия",Мориц Мор,,"Германия,  ЮАР,  США"
['https://go.utorr.cc/fantastika/5226-atlas0-2024.html'],Атлас,"Дженнифер Лопес,  Симу Лю,  Стерлинг К. Браун,  Грег Кохан,  Абрахам Попула,  Лана Паррия,  Марк Стронг,  Бриелла Гуиса,  Адия Смит-Эрикссон,  Логан Хант",,2024,"фантастика,  боевик,  драма",Брэд Пейтон,,США
['https://go.utorr.cc/boevik/5220-kaskadery0-2024.html'],Каскадеры,"Райан Гослинг,  Эмили Блант,  Аарон Тейлор-Джонсон,  Ханна Уэддингхэм,  Тереза Палмер,  Стефани Сюй,  Уинстон Дьюк,  Бен Найт,  Matuse,  Адам Данн",,2024,"боевик,  драма,  комедия",Дэвид Литч,,"США,  Австралия,  Канада"
['https://go.utorr.cc/mult/5223-mars-ekspress-2023.html'],Марс Экспресс,"Леа Дрюкер,  Матьё Амальрик,  Дэниэл Нджо Лобе,  Мари Буве,  Себастьян Шассань,  Марта Келлер,  Женевьева Доан,  Тома Родити,  Тьерри Жан,  Серж Фалю",,2023,"мультфильм,  фантастика,  боевик,  триллер,  детектив",Жереми Перен,,Франция
['https://go.utorr.cc/fantastika/5218-godzilla-i-kong-novaya-imperiya0-2024.html'],Годзилла и Конг: Новая империя,"Ребекка Холл,  Брайан Тайри Генри,  Дэн Стивенс,  Кэйли Хоттл,  Алекс Фернс,  Чэнь Фала,  Рэйчел Хаус,  Рональд Смик,  Чантелл Джемисон,  Грег Хаттон",,2024,"фантастика,  боевик",Адам Вингард,«Воспряньте вместе или падёте порознь»,"США,  Австралия"
['https://go.utorr.cc/boevik/5216-ministerstvo-nedzhentlmenskih-del-2024.html'],Министерство неджентльменских дел,"Генри Кавилл,  Алан Ричсон,  Рори Киннер,  Генри Голдинг,  Фредди Фокс,  Эйса Гонсалес,  Алекс Петтифер,  Бабс Олусанмокун,  Кэри Элвес,  Хиро Файнс Тиффин",,2024,"боевик,  драма,  военный,  история",Гай Ричи,,"США,  Великобритания,  Турция"
['https://go.utorr.cc/uzhas/5215-ebigeyl0-2024.html'],Эбигейл,"Мелисса Баррера,  Дэн Стивенс,  Алиша Вейр,  Уильям Кэтлетт,  Кэтрин Ньютон,  Кевин Дюран,  Ангус Клауд,  Джанкарло Эспозито,  Мэттью Гуд",,2024,ужасы,"Мэттью Беттинелли,  Тайлер Джиллетт",,"США,  Ирландия,  Канада"
['https://go.utorr.cc/melodrama/5213-onegin-2024.html'],Онегин,"Виктор Добронравов,  Денис Прытков,  Лиза Моряк,  Таня Сабинова,  Алёна Хмельницкая,  Алексей Гришин,  Татьяна Лютаева,  Владимир Вдовиченков,  Ольга Тумайкина,  Александр Яцко",,2024,"мелодрама,  драма",Сарик Андреасян,,Россия
['https://go.utorr.cc/serial/5212-ya-znayu-kto-tebya-ubil-serial-2024.html'],"Я знаю, кто тебя убил (сериал)","Александр Яценко,  Юлия Снигирь,  Евгения Симонова,  Михаил Тройник,  Ольга Озоллапиня,  Александр Ильин мл.,  Мария Смольникова,  Елизавета Запорожец,  Мария Карпова,  Агния Кузнецова",,2024,"детектив,  триллер",Софья Райзман,,Россия
['https://go.utorr.cc/uzhas/5221-sudnaya-noch-v-arkadii-2024.html'],Судная ночь в Аркадии,"Николас Кейдж,  Макс Дженкинс,  Джейден Мартелл,  Сэди Совералл,  Саманта Кохлан,  Джо Диксон,  Джоэль Гильман,  Дэйр Макмахон",,2024,ужасы,Бенжамин Брюэр,«Семья сильнее страха»,"Канада,  США,  Ирландия"
['https://go.utorr.cc/fantastika/5210-godzilla-minus-odin-2023.html'],Годзилла: Минус один,"Рюносукэ Камики,  Минами Хамабэ,  Хидэтака Ёсиока,  Юки Ямада,  Кураносукэ Сасаки,  Сакура Андо,  Мунэтака Аоки,  Мио Танака,  Юя Эндо,  Кисукэ Иида",,2023,"фантастика,  боевик,  драма",Такаси Ямадзаки,,Япония
